shell,triangles,cx,cy,cz,dx,dy,dz,xmin,ymin,zmin,xmax,ymax,zmax
84,100,-115.73328018188477,30.79283905029297,380.9049987792969,1.2018356323242188,3.6657028198242188,0.75,-116.33419799804688,28.95998764038086,380.5299987792969,-115.13236236572266,32.62569046020508,381.2799987792969
85,100,-114.28438949584961,31.181066513061523,380.9049987792969,1.2018356323242188,3.665699005126953,0.75,-114.88530731201172,29.348217010498047,380.5299987792969,-113.6834716796875,33.013916015625,381.2799987792969
86,100,30.663429260253906,4.09499990940094,137.21623992919922,3.6657028198242188,0.7499997615814209,1.2018280029296875,28.830577850341797,3.7200000286102295,136.61532592773438,32.496280670166016,4.46999979019165,137.81715393066406
87,100,-116.21624374389648,30.663429260253906,380.9049987792969,1.2018356323242188,3.6657028198242188,0.75,-116.8171615600586,28.830577850341797,380.5299987792969,-115.61532592773438,32.496280670166016,381.2799987792969
88,100,-116.69920349121094,30.53402042388916,380.9049987792969,1.20184326171875,3.665700912475586,0.75,-117.30012512207031,28.701169967651367,380.5299987792969,-116.09828186035156,32.36687088012695,381.2799987792969
89,100,-117.18216705322266,30.404610633850098,380.9049987792969,1.20184326171875,3.665700912475586,0.75,-117.78308868408203,28.571760177612305,380.5299987792969,-116.58124542236328,32.23746109008789,381.2799987792969
90,100,-115.25031661987305,30.92224884033203,380.9049987792969,1.2018356323242188,3.6657028198242188,0.75,-115.85123443603516,29.089397430419922,380.5299987792969,-114.64939880371094,32.75510025024414,381.2799987792969
91,100,31.181066513061523,4.09499990940094,135.28439331054688,3.665699005126953,0.7499997615814209,1.20184326171875,29.348217010498047,3.7200000286102295,134.6834716796875,33.013916015625,4.46999979019165,135.88531494140625
92,100,31.05165672302246,4.09499990940094,135.76734924316406,3.665699005126953,0.7499997615814209,1.20184326171875,29.218807220458984,3.7200000286102295,135.1664276123047,32.88450622558594,4.46999979019165,136.36827087402344
93,100,30.92224884033203,4.09499990940094,136.25031280517578,3.6657028198242188,0.7499997615814209,1.2018280029296875,29.089397430419922,3.7200000286102295,135.64939880371094,32.75510025024414,4.46999979019165,136.85122680664062
94,100,30.79283905029297,4.09499990940094,136.7332763671875,3.6657028198242188,0.7499997615814209,1.20184326171875,28.95998764038086,3.7200000286102295,136.13235473632812,32.62569046020508,4.46999979019165,137.33419799804688
95,100,30.404610633850098,4.09499990940094,138.18216705322266,3.665700912475586,0.7499997615814209,1.2018280029296875,28.571760177612305,3.7200000286102295,137.5812530517578,32.23746109008789,4.46999979019165,138.7830810546875
96,100,30.145791053771973,4.09499990940094,139.1480941772461,3.665700912475586,0.7499997615814209,1.2018280029296875,28.31294059753418,3.7200000286102295,138.54718017578125,31.978641510009766,4.46999979019165,139.74900817871094
97,100,30.275200843811035,4.09499990940094,138.66513061523438,3.665700912475586,0.7499997615814209,1.20184326171875,28.442350387573242,3.7200000286102295,138.064208984375,32.10805130004883,4.46999979019165,139.26605224609375
98,100,30.663429260253906,4.09499990940094,393.21624755859375,3.6657028198242188,0.7499997615814209,1.20184326171875,28.830577850341797,3.7200000286102295,392.6153259277344,32.496280670166016,4.46999979019165,393.8171691894531
